"flow_CD4_T_cells","flow_CD8_T_cells","flow_gMDSCs","flow_DCs","flow_CD4_CD8_null_T_cells","flow_F480_macrophages","flow_B_cells","sample_id"
7.94,1.65,52.4,1.78,0.903,14.35,2.23,"PD1638-0_C6_BULK"
6.94,0.72,53.23,1.1,0.665,17.075,1.435,"PD1638-1_C5_BULK"
9.36,4.17,40.08,1.82,1.85,12.93,2.15,"PD6620_C4_BULK"
9.92,2.91,48.18,1.82,1.993,16.975,1.7125,"PD5074_C3_BULK"
4.5,0.51,62.38,0.63,1.158,9.25,2.16,"PD6422_C1_BULK"
10.35,0.83,42.08,1.78,2.995,8.62,3.85,"PD6422_C2_BULK"
12.3,3.7,29.43,2.88,3.88,7.69,4.3,"PD6422_C5_BULK"
2.93,0.25,13.11,1.55,1.463,16.725,1.9575,"PD7160_C4_BULK"
8.08,2.15,31.53,1.02,4.38,10.81,1.25,"PD7160_C5_BULK"
3.76,1.1,36.05,0.45,2.105,15.8,1.61,"PD6419_C6_BULK"
11.3,2.63,32.78,1.33,3.075,11.91,1.47,"PD6620_C1_BULK"
4.67,0.54,67.48,0.78,0.665,18.175,1.105,"PD1638-2_C3_BULK"
22.45,3.99,19.03,2.96,7.583,7.99,2.15,"PD7160_C2_BULK"
3.05,0.43,67.18,0.4,1.418,8.37,1.08,"PD6499_C3_BULK"
1.96,0.35,71.8,0.25,0.555,9.95,1.04,"PD6419_C5_BULK"
2.2,0.21,36.43,0.68,1.493,7.02,2.49,"PD6694_C2_BULK"
20.65,5.28,28.1,5.69,4.345,15.1,1.53,"PD5074_C2_BULK"
7.84,1.19,34.5,1.41,1.45,24.5,1.66,"PD5074_C5_BULK"
9.41,0.62,54.5,3.41,1.535,16.775,2.32,"PD6694_C1_BULK"
2.89,0.59,20.67,0.99,0.457,49.33,4.13,"PD6419_C1_BULK"
7.04,1.5,42.95,0.85,0.588,29.5,2.24,"PD6421_C6_BULK"
12.37,2.63,33.33,2.36,0.51,24.3,1.78,"PD4662_C4_BULK"
7.85,0.54,49.35,0.89,0.398,20.98,5.66,"PD6421_C4_BULK"
1,0.14,64.27,0.27,0.079,14.33,4.72,"PD5821_C3_BULK"
1.31,0.31,44.63,1.24,0.213,7.3,2.34,"PD6556_C4_BULK"
16.6,1.21,12.99,3.05,0.453,21.45,5.71,"PD6555_C3_BULK"
3.69,0.13,26.68,0.74,0.343,25.325,2.1325,"PD4633_C1_BULK"
2.73,0.52,64.4,1.13,0.188,27.85,3.2,"PD2699_C1_BULK"
9.65,1.54,15.48,1.9,1.065,37.63,4.54,"PD7160_C6_BULK"
6.77,0.23,38.33,0.58,0.768,20.88,4.29,"PD4633_C6_BULK"
4.9,2.9,38.58,5.72,0.558,12.45,2.48,"PD6556_C2_BULK"
7.44,0.3,31.43,1.22,0.598,22.05,4.52,"PD6405_C4_BULK"
7.84,0.72,35,0.6,0.78,27.58,5.24,"PD6421_C2_BULK"
11.62,0.43,17.68,1.56,1.125,24.43,3.17,"PD6405_C5_BULK"
8.8,1.11,44.1,1.14,0.463,21.7,3.28,"PD4662_C3_BULK"
8.25,1.45,42.65,1.65,0.755,25.48,2.29,"PD6405_C1_BULK"
3.71,1.11,36.48,0.66,0.618,28.05,3.4,"PD6419_C2_BULK"
9.49,1.67,23.74,0.72,1.1,19,7.39,"PD6405_C6_BULK"
3.22,0.71,50.18,0.37,0.393,21.78,4.52,"PD2838_C2_BULK"
11.43,6.45,30.35,2.19,0.698,13.33,2.65,"PD2838_C3_BULK"
8.47,0.08,16.23,0.58,0.908,39.38,5.93,"PD4633_C5_BULK"
4.32,0.43,57.28,0.73,0.58,17.98,4.65,"PD6556_C3_BULK"
6.37,0.35,6.89,1.44,1.173,29.53,7.16,"PD7160_C3_BULK"
2.82,0.51,58.15,0.75,0.353,14.48,5.9,"PD6560_C3_BULK"
7.28,0.72,20.8,1.89,0.66,33.33,5.94,"PD2699_C4_BULK"
7.42,4.79,22.55,1.68,0.765,34.18,3.88,"PD6560_C2_BULK"
5.13,0.47,46.3,0.8,0.435,26.73,3.41,"PD6560_C5_BULK"
16.65,1.3,20.23,1.88,0.453,21.55,2.3225,"PD6499_C4_BULK"
8.97,0.85,36.15,1.39,0.445,20.5,1.5625,"PD6620_C2_BULK"
9.01,0.59,54.83,1.21,0.42,16.8,1.47,"PD7062_C4_BULK"
6.77,0.49,46.95,0.87,0.653,15.925,1.1475,"PD6421-1_C_BULK"
7.55,0.28,47.98,0.92,0.533,16.675,2.44,"PD6421-2_C_BULK"
8.84,0.4,48.08,0.8,0.373,23.975,1.2325,"PD6421_C3_BULK"
9.22,0.43,21.05,1.03,0.53,24.75,1.47,"PD6620_C3_BULK"
8.97,6.53,45.5,0.98,0.548,11.975,0.9075,"PD7062_C3_BULK"
7.25,4.78,29.65,2.04,0.625,21.8,0.5325,"PD5074_C6_BULK"
6.1,15.98,21.73,0.89,1.3,7.37,2.0775,"PD7062_C1_BULK"
6.46,6.31,21.15,2.31,1.258,13.0925,1.87,"PD6556_C1_BULK"
