cell_type	gene
B_cells	MS4A1
B_cells	TCL1A
B_cells	MS4A1
B_cells	TCL1A
B_cells	HLA-DOB
B_cells	PNOC
B_cells	KIAA0125
B_cells	CD19
B_cells	CR2
B_cells	IGHG1
B_cells	FCRL2
B_cells	BLK
B_cells	IGHG1
B_cells	COCH
B_cells	OSBPL10
B_cells	IGHA1
B_cells	TNFRSF17
B_cells	ABCB4
B_cells	BLNK
B_cells	GLDC
B_cells	MEF2C
B_cells	MEF2C
B_cells	IGHM
B_cells	FAM30A
B_cells	SPIB
B_cells	BCL11A
B_cells	GNG7
B_cells	IGKC
B_cells	CD72
B_cells	MICAL3
B_cells	BCL11A
B_cells	BACH2
B_cells	IGL@
B_cells	CCR9
B_cells	QRSL1
B_cells	DTNB
B_cells	HLA-DQA1
B_cells	SCN3A
B_cells	QRSL1
B_cells	SLC15A2
t_cells	PRKCQ
t_cells	CD3D
t_cells	CD3G
t_cells	CD28
t_cells	LCK
t_cells	TRAT1
t_cells	PRKCQ
t_cells	BCL11B
t_cells	CD2
t_cells	LCK
t_cells	TRBC1
t_cells	TRBC1
t_cells	TRA@
t_cells	ITM2A
t_cells	SH2D1A
t_cells	CD6
t_cells	CD96
t_cells	NCALD
t_cells	GIMAP5
t_cells	TRA@
t_cells	CD3E
t_cells	SKAP1
t_cells	TRA@
t_cells	TRA@
T_helper_cells	ICOS
T_helper_cells	LRBA
T_helper_cells	ITM2A
T_helper_cells	FAM111A
T_helper_cells	PHF10
T_helper_cells	NUP107
T_helper_cells	SEC24C
T_helper_cells	NAP1L4
T_helper_cells	BATF
T_helper_cells	ASF1A
T_helper_cells	FRYL
T_helper_cells	FUSIP1
T_helper_cells	TRA@
T_helper_cells	TRA@
T_helper_cells	RPA1
T_helper_cells	UBE2L3
T_helper_cells	ANP32B
T_helper_cells	DDX50
T_helper_cells	C13orf34
T_helper_cells	PPP2R5C
T_helper_cells	SLC25A12
T_helper_cells	ATF2
T_helper_cells	CD28
T_helper_cells	GOLGA8A
Tcm	CDC14A
Tcm	ATM
Tcm	USP9Y
Tcm	PCNX
Tcm	ATM
Tcm	FOXP1
Tcm	KLF12
Tcm	ST3GAL1
Tcm	INPP4B
Tcm	CASP8
Tcm	MLL
Tcm	PCM1
Tcm	RP11-74E24.2
Tcm	PHC3
Tcm	NFATC3
Tcm	LOC202134
Tcm	TIMM8A
Tcm	ATF7IP
Tcm	REPS1
Tcm	PSPC1
Tcm	RPP38
Tcm	HNRPH1
Tcm	STX16
Tcm	CYLD
Tcm	SNRPN
Tcm	TRAF3IP3
Tcm	NEFL
Tcm	POLR2J2
Tcm	AQP3
Tcm	CG030
Tcm	PDXDC2
Tcm	CLUAP1
Tcm	DOCK9
Tcm	CYorf15B
Tcm	CREBZF
Tcm	CEP68
Tcm	TXK
Tcm	SLC7A6
Tcm	FYB
Tcm	MAP3K1
Tem	TRA@
Tem	PRKY
Tem	VIL2
Tem	GDPD5
Tem	CCR2
Tem	MEFV
Tem	C7orf54
Tem	FLI1
Tem	TBC1D5
Tem	DDX17
Tem	AKT3
Tem	EWSR1
Tem	TBCD
Tem	CCR2
Tem	NFATC4
Tem	LTK
Th1_cells	IFNG
Th1_cells	LTA
Th1_cells	APBB2
Th1_cells	DOK5
Th1_cells	IL12RB2
