"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",0.896828911548118,-0.0657623948736857,9.77217983643917,5.54246884398463e-07,0.00125122918159683,6.5836034650333
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP",0.842975421607842,-0.0636705049506167,8.17876812661108,3.48539227798806e-06,0.00134801873361038,4.8743277300449
"GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP",0.765267037210602,-0.0444475914894746,9.16166010517064,1.08879947928467e-06,0.00125122918159683,5.96356359646024
"GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.759564887114283,-0.0218337202788136,4.94227877041387,0.000364691999251622,0.00702284355871108,0.346140505713341
"GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN",0.756729809374755,-0.0443147889860275,8.9511380126925,1.38547834141386e-06,0.00125122918159683,5.74003295226282
"GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",0.725537923744401,-0.0523845412068451,7.5684042179481,7.56523314786141e-06,0.00168933637418912,4.13620682533803
"GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP",0.711988301260203,-0.0283166027285737,8.94518527122928,1.39503867755539e-06,0.00125122918159683,5.73363735660768
"GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN",0.705649867030147,-0.0356383296713369,8.03830970201424,4.15030398279059e-06,0.00134801873361038,4.70884043245174
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.69798205845973,-0.0342867945819786,7.84116986650833,5.32263499410878e-06,0.00152540457007635,4.47220821574262
"GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_DN",0.687478291690457,-0.0494127932615986,8.12272417642164,3.7358899400799e-06,0.00134801873361038,4.80860395869231
