"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KEGG_ASTHMA",1.09626020127258,-0.0770996098308924,7.40579603033665,1.24345025150474e-05,0.000515305160532682,3.66886464942166
"KEGG_AUTOIMMUNE_THYROID_DISEASE",1.05830301137222,-0.0620551604394897,7.52269109028105,1.07262427363264e-05,0.000515305160532682,3.80712027526574
"KEGG_ALLOGRAFT_REJECTION",1.05153906265345,-0.0619033214653576,7.42862787015346,1.20791871235023e-05,0.000515305160532682,3.69601863245632
"KEGG_GRAFT_VERSUS_HOST_DISEASE",1.045465637954,-0.0770879761760773,7.3211861746052,1.38522892616312e-05,0.000515305160532682,3.56759825020506
"KEGG_TYPE_I_DIABETES_MELLITUS",0.893863681086584,-0.0452122505750957,6.36090337463893,5.02123197646016e-05,0.0010377212751351,2.34513540927451
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.885865451542869,-0.0593794124200923,6.88153842172521,2.46193482743105e-05,0.000638024177480591,3.02487370595381
"KEGG_LEISHMANIA_INFECTION",0.875378100916105,-0.0247015249018887,7.49059437052099,1.1168651183416e-05,0.000515305160532682,3.7693481222899
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.804754610481073,-0.0490020692105088,6.80057086147268,2.74419001066921e-05,0.000638024177480591,2.92184026254075
"KEGG_PRIMARY_IMMUNODEFICIENCY",0.798738144645783,-0.111915355997097,7.00027366008365,2.10281834948837e-05,0.000638024177480591,3.17421592946405
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.739605160350665,-0.011439352309717,5.48926953452072,0.000179707924050343,0.00204113821407128,1.11339034115786
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.690866519844834,-0.0383067679976586,5.74954429281292,0.000121453722282564,0.00173772248804284,1.49367829421891
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.670443612295916,-0.0340965325841728,5.8776252590606,0.00010050623887193,0.00169946913001628,1.67690441907212
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.666259102397379,0.00163010850718208,4.67089971926211,0.000655657557476909,0.00530227416046543,-0.150621882497348
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.650197004721754,-0.0563290091219936,5.5050296185613,0.000175446973179806,0.00204113821407128,1.13672033707498
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.618985256570708,-0.0347289928271745,5.90689504136676,9.62816399997925e-05,0.00169946913001628,1.71841424592131
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.6140407574399,-0.0341161304244926,5.09931961743494,0.00032907285673291,0.0032214500711748,0.523801073595931
"KEGG_LYSOSOME",0.564294333546394,0.0122793087794422,3.75109441529964,0.00312548713780179,0.0187529228268107,-1.68095527984855
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.562584382669349,-0.0411919613843605,5.04496982610188,0.000358635183546504,0.00333530720698249,0.439762760438422
"KEGG_RIBOFLAVIN_METABOLISM",0.520195636111304,-0.023276069629472,3.61246499019513,0.00398796517296066,0.0218165153579613,-1.91907665538527
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.471364766693753,-0.0452027729803409,3.54581955132214,0.00448641358005409,0.022553322321353,-2.03400481555391
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.465572989875459,-0.0468499283997533,3.78571104715768,0.00294182173019427,0.0187529228268107,-1.6217215337567
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.463480060010105,0.0190317815377129,3.85735131729093,0.002596296256087,0.0178855964308215,-1.49945690789492
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.449031835335523,-0.00306517761335874,3.56296591047433,0.00435235555987081,0.022553322321353,-2.00441165893068
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.43654082349367,-0.0462051512533848,3.4275694586014,0.00553398521199473,0.0251053963275858,-2.23849470451778
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.418865273567548,0.0116385368437056,3.0395648013054,0.0110844328494819,0.0412340902000725,-2.91173073470005
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0.390952054309325,0.00493000417462731,3.54932924645421,0.00445863226788061,0.022553322321353,-2.02794605081918
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.384632849753125,0.00559978699604875,3.24387216192112,0.00768163338993552,0.032472359330182,-2.55711454959833
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.359465757170124,0.0128383720544375,3.21169492930699,0.00813740895248796,0.0325895130179405,-2.61298283784454
"KEGG_APOPTOSIS",0.355665474102685,0.00119320450375181,3.21345614725487,0.00811176606768063,0.0325895130179405,-2.60992477817109
"KEGG_PEROXISOME",-0.399148004152295,0.0286824461532032,-2.99228324693833,0.0120684594365318,0.0431679510614407,-2.99367263548484
"KEGG_NITROGEN_METABOLISM",-0.422537648021239,0.0403439241012742,-2.93205830303688,0.0134501071704141,0.0463281469203152,-3.09790835330792
"KEGG_RETINOL_METABOLISM",-0.479791022828922,0.0484615902726672,-2.9567843632565,0.0128646090950183,0.0451474960693096,-3.05513451569553
"KEGG_GLYCEROLIPID_METABOLISM",-0.499989787879279,0.0685197613395446,-3.20504429983108,0.00823498447227528,0.0325895130179405,-2.62453059443195
"KEGG_CITRATE_CYCLE_TCA_CYCLE",-0.511966241303841,0.0746737103790277,-3.51478462610066,0.00473993895753423,0.0232007538447728,-2.08760884222491
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",-0.518043148884784,0.0456631393342841,-3.01143971397506,0.0116595974782782,0.0425232378619557,-2.96048319543048
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",-0.527302430638966,0.0477980345630298,-3.43838308934456,0.0054285578260076,0.0251053963275858,-2.21976903912251
"KEGG_LYSINE_DEGRADATION",-0.533791112483244,0.0364354135922088,-3.06559162961944,0.0105776676755263,0.0401519630132223,-2.86659313574361
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",-0.536741332094845,0.0628279408906103,-4.41326476241962,0.00100460387266649,0.00747425281263868,-0.568863991818041
"KEGG_CARDIAC_MUSCLE_CONTRACTION",-0.583964397367148,0.0354348668696765,-3.8231426555239,0.00275572440326971,0.018305883536006,-1.5577833232945
"KEGG_PYRUVATE_METABOLISM",-0.587873685730906,0.0901988864564382,-4.85143971586682,0.000488827830686972,0.00432961792894175,0.136896611537097
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",-0.591268856801775,0.0428375811304731,-4.67417416115616,0.00065214901441307,0.00530227416046543,-0.145365394962251
"KEGG_BUTANOATE_METABOLISM",-0.598431434328607,0.0402135414560779,-3.45411724387281,0.00527881520266704,0.0251053963275858,-2.19253094094686
