"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",1.28576535463128,-0.0758394449610836,8.4680136296904,3.86219560521144e-06,0.00101939758461894,4.83418059872801
"REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE",1.17877246986519,-0.111493430204111,8.52251928659708,3.63075796878211e-06,0.00101939758461894,4.89429493426305
"REACTOME_PD1_SIGNALING",1.13893323192069,-0.101047758035787,7.84502105702245,8.00103510441967e-06,0.001075339118034,4.12156686374568
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS",1.13311558000071,-0.0896919548052941,8.32456053540549,4.5508820741917e-06,0.00101939758461894,4.67428293990497
"REACTOME_BETA_DEFENSINS",1.07474153215698,-0.102436026217783,7.89033062924789,7.5775692646201e-06,0.001075339118034,4.17501761758869
"REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION",1.05715690553973,-0.0319161881011269,4.3899486143565,0.00108836797850641,0.0187534174758028,-0.801793724080698
"REACTOME_REGULATION_OF_IFNG_SIGNALING",1.01467684851176,-0.0670166456925943,6.72314005455587,3.31896755842229e-05,0.0031862088560854,2.7113313290576
"REACTOME_REGULATION_OF_IFNA_SIGNALING",0.999832230858967,-0.0576577288467391,7.56993695600143,1.11858937388198e-05,0.00125282009874782,3.79139478170601
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",0.93805876076058,-0.0540062798473316,4.62150984030987,0.00074404909826163,0.0156250310634942,-0.41818378365105
"REACTOME_INTERFERON_GAMMA_SIGNALING",0.914270844154428,-0.0548080131341055,6.48485024959046,4.5807592354632e-05,0.00342030022914585,2.38927097376767
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING",0.901508791717546,-0.0632814885857426,5.44637641145214,0.000203968595521712,0.0086602596220317,0.887987449494217
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.900567930496322,-0.0611720237701194,6.50953407477752,4.42886953154499e-05,0.00342030022914585,2.42301346343489
"REACTOME_CD28_DEPENDENT_VAV1_PATHWAY",0.863637243082694,0.00483752184176884,4.02047695914964,0.00202581103702231,0.0277825513648774,-1.4271985602516
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.853341479866691,-0.0630216994262404,5.98716284899433,9.19916944952437e-05,0.00517146449083968,1.68984150782599
"REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS",0.85045262357618,-0.034106930275175,5.94662599279014,9.75116534771919e-05,0.00517146449083968,1.63125424813431
"REACTOME_COPI_MEDIATED_TRANSPORT",0.838666724618321,-0.0522613177659338,5.43918617070258,0.000206196657667421,0.0086602596220317,0.877030991677048
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",0.797022198634555,-0.0116607783892581,4.9684044088092,0.000426730924357706,0.0110293531218607,0.14302096813188
"REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1",0.785947695469961,-0.00391779795340853,3.45370405710971,0.00541450525049181,0.0482028001961203,-2.41091065321296
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",0.772930808444753,-0.00126280476296316,3.98676224484453,0.00214576835348722,0.0279463363677031,-1.48499519640244
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY12",0.750804866147473,-0.0174711482925638,4.97836561815282,0.000420077247425868,0.0110293531218607,0.158886602133475
"REACTOME_INTERFERON_SIGNALING",0.745660306378714,-0.0284243558795132,5.27642016981393,0.000264206321513459,0.00944871766322161,0.626949203932184
"REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS",0.735666348661191,-0.0262118695193238,5.10887719952825,0.00034235168425876,0.0104572878100858,0.365436176137334
"REACTOME_IL_6_SIGNALING",0.734109590791423,0.050990451263902,3.56120074831843,0.00448277176294214,0.0424284876717904,-2.22273367466383
"REACTOME_DEFENSINS",0.720771105658205,-0.0427286663278107,5.22854097038375,0.000284396422621638,0.00955571980008702,0.552637362390001
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR",0.711503595060174,-0.0381584403922594,4.15115815551006,0.00162299109908551,0.024236667079677,-1.2042637331537
"REACTOME_PROLACTIN_RECEPTOR_SIGNALING",0.710170660951239,-0.0300185021954667,4.07058384643329,0.00186026817155526,0.0261294030286914,-1.34150982272378
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",0.685676248593243,-0.0320480449520326,4.6673497173024,0.000690683343399518,0.0156250310634942,-0.343075322849199
"REACTOME_NOD1_2_SIGNALING_PATHWAY",0.684607092414971,0.00525711389557941,4.82849651867639,0.00053291076407747,0.013263556794817,-0.0813072202246845
"REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",0.681905198517362,-0.0105764908434205,4.58720332875782,0.000786817009719219,0.0159927519932496,-0.47457820810476
"REACTOME_INSULIN_RECEPTOR_RECYCLING",0.680923006736856,-0.0277976771939692,4.26104039001401,0.00134916705526559,0.0215866728842495,-1.01824005161854
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",0.675921703469656,-0.0234061365193548,5.17400083621685,0.000309404542748005,0.00990094536793617,0.467575628637467
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",0.674100031505149,-0.0529720707055502,4.49046937834785,0.000921909876563788,0.0168060306114858,-0.634424034511694
"REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING",0.674034895493651,0.00464772359591516,4.62441496748123,0.000740541511902308,0.0156250310634942,-0.413415398327899
"REACTOME_DOWNSTREAM_TCR_SIGNALING",0.67279316517876,-0.036343583363546,4.57005452289743,0.000809157094896555,0.0159927519932496,-0.502826401407419
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY",0.667858879143975,-0.0404820437357896,5.07215233556814,0.000362551706514032,0.0105928150772796,0.307564270174959
"REACTOME_TCR_SIGNALING",0.647006953179049,-0.0242656002784971,4.48711157079897,0.000927015538378025,0.0168060306114858,-0.639994278692615
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS",0.618543432915505,-0.00370674148622544,4.70072200545239,0.000654374953110718,0.0156250310634942,-0.288573029970889
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",0.617244821026386,-0.0687851152185338,3.43419966206398,0.00560379981059482,0.0489058892561002,-2.44510432554485
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE",0.612973201127801,-0.0576344417176364,3.79177674619229,0.00300034720269098,0.034762643451868,-1.82129585950709
"REACTOME_P2Y_RECEPTORS",0.593356937967724,-0.0607014842550022,3.9822122728629,0.00216251412369131,0.0279463363677031,-1.49280359270648
"REACTOME_SIGNALING_BY_ILS",0.581087083246447,-0.00214448775146472,4.19857043877573,0.00149833381357261,0.0234158214586231,-1.12383156293561
"REACTOME_IRON_UPTAKE_AND_TRANSPORT",0.571813021218203,0.00043436941433116,3.9028936321232,0.00247730611807305,0.0305107541932961,-1.6292373234359
"REACTOME_IL1_SIGNALING",0.565583330585643,-0.00556886468158074,3.72978940189196,0.00334062295554929,0.0370120033855249,-1.9288648277773
