"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BIOCARTA_THELPER_PATHWAY",1.116517683746,-0.18379946183358,7.3420142686506,5.78996460645236e-08,7.84162210434228e-06,8.15955084476641
"BIOCARTA_TCRA_PATHWAY",1.1073135224499,-0.170036698939515,6.90631814904116,1.76538298244774e-07,7.84162210434228e-06,7.04262150349713
"BIOCARTA_TCYTOTOXIC_PATHWAY",1.09126173191464,-0.180385244286531,7.16795215165357,9.01431895026546e-08,7.84162210434228e-06,7.71591902865646
"BIOCARTA_BLYMPHOCYTE_PATHWAY",1.06373087689953,-0.10735392107072,5.73281152676789,3.92347055874056e-06,8.51393111246701e-05,3.94352625245622
"BIOCARTA_TCAPOPTOSIS_PATHWAY",1.01783556520859,-0.161717430277,6.89734026913005,1.80682536966412e-07,7.84162210434228e-06,7.01938472369785
"BIOCARTA_IL17_PATHWAY",0.978563425025242,-0.135352972854485,6.92767216960258,1.67065180530095e-07,7.84162210434228e-06,7.09785592389304
"BIOCARTA_NO2IL12_PATHWAY",0.976110735378107,-0.181521892950684,6.47089519205689,5.49492852978699e-07,1.98733248493963e-05,5.90623024608274
"BIOCARTA_CTL_PATHWAY",0.974114085846081,-0.129077516340355,6.18370322123587,1.17424312276486e-06,3.46254568056405e-05,5.14718595613732
"BIOCARTA_LYM_PATHWAY",0.927974370801825,-0.101640766107189,4.69992228067209,6.45934681455808e-05,0.000667465837504335,1.16435660622156
"BIOCARTA_DC_PATHWAY",0.911394436915323,-0.129711314451216,5.96364627963475,2.11157630506196e-06,5.09124509109383e-05,4.56131278385097
"BIOCARTA_IL5_PATHWAY",0.896319212479659,-0.0756378909836026,5.03415563376449,2.60320249564105e-05,0.000353059338471317,2.0629352605106
"BIOCARTA_ASBCELL_PATHWAY",0.855463458125516,-0.133857374195164,5.04927318807768,2.49836800103178e-05,0.000353059338471317,2.10365905236305
"BIOCARTA_TH1TH2_PATHWAY",0.852354459308627,-0.161734328642354,5.14561829426015,1.92274107371769e-05,0.000298024866426242,2.3632664514545
"BIOCARTA_NKT_PATHWAY",0.849256806946546,-0.127463421921426,5.57584528730889,5.9909377716844e-06,0.000118184863314138,3.52197508461879
"BIOCARTA_MONOCYTE_PATHWAY",0.834164670819687,-0.053905490144108,4.58554624962436,8.81196033062754e-05,0.000831389300759208,0.858133633213114
"BIOCARTA_CYTOKINE_PATHWAY",0.810679385406727,-0.121299317341349,4.00323271269801,0.000423458635957913,0.0028715788750896,-0.680961804488049
"BIOCARTA_CTLA4_PATHWAY",0.805769888046918,-0.135913173522895,6.15229361142951,1.27651453661347e-06,3.46254568056405e-05,5.06377101659192
"BIOCARTA_IL12_PATHWAY",0.760557107072596,-0.108452452540533,4.88256403117244,3.9314091934842e-05,0.000473953219436706,1.65487060715685
"BIOCARTA_IL10_PATHWAY",0.760023788382035,-0.0660108512131296,4.99719235813498,2.87845911802497e-05,0.000367426840359657,1.96338147726715
"BIOCARTA_NEUROTRANSMITTERS_PATHWAY",0.753770502251659,-0.11286236172139,3.61983623781705,0.00116702295463388,0.00588939491059423,-1.66493806195193
"BIOCARTA_STEM_PATHWAY",0.743356710125212,-0.0511162823217211,4.48734080858133,0.000115006483346423,0.00103985028692391,0.595976693947897
"BIOCARTA_INFLAM_PATHWAY",0.734772006432042,-0.0820356209954237,4.86075648340051,4.17161763898883e-05,0.000476442646137146,1.59622540049447
"BIOCARTA_SODD_PATHWAY",0.71328935729586,-0.101477355290853,4.32557941171514,0.000178134711949818,0.00151349876099456,0.166095287354786
"BIOCARTA_IL2_PATHWAY",0.695868324855271,-0.042029169364241,4.61402613943845,8.15647918363869e-05,0.000804525446749816,0.934300638084549
"BIOCARTA_CDMAC_PATHWAY",0.692475484214176,-0.0670833422115422,3.95680710131476,0.000479284842295202,0.00315166093266845,-0.801650120523035
"BIOCARTA_CSK_PATHWAY",0.683236423817462,-0.0858125420986626,5.18014979775338,1.75055040755915e-05,0.00029220726033872,2.45633209573194
"BIOCARTA_GRANULOCYTES_PATHWAY",0.681131227739863,-0.0320889442198743,3.82085962335522,0.000687698390745507,0.00403325812950743,-1.15278507743346
"BIOCARTA_CCR5_PATHWAY",0.679203130200424,-0.00950894772109212,4.31897171852853,0.00018134086537262,0.00151349876099456,0.148594081160609
"BIOCARTA_IL22BP_PATHWAY",0.630766158583875,-0.0426812330117905,4.27784936241244,0.000202618257132934,0.00162845043695729,0.0397914559662205
"BIOCARTA_TOB1_PATHWAY",0.593475787076298,-0.0721452721766181,4.77842170679742,5.21833141335137e-05,0.000566188958348624,1.37498471749196
"BIOCARTA_ERYTH_PATHWAY",0.589161294247107,-0.0506170994368271,3.92507388987052,0.000521542775326065,0.00332867006605165,-0.883924593507635
"BIOCARTA_TCR_PATHWAY",0.58638135603063,-0.0383002881859104,4.04898357209774,0.000374717544823903,0.00262302281376732,-0.5616707366515
"BIOCARTA_IL3_PATHWAY",0.584016009759828,-0.0394609231205966,3.63350398040706,0.0011260451004487,0.00581789968565163,-1.63041149249096
"BIOCARTA_RANKL_PATHWAY",0.566372358732309,-0.0816506127562257,4.17383863238296,0.000268095356829134,0.00200609284248007,-0.234459947454472
"BIOCARTA_D4GDI_PATHWAY",0.54410765835506,-0.0538098003006268,2.64929841843321,0.013173474766063,0.0378756017890523,-3.96404102521885
"BIOCARTA_IL6_PATHWAY",0.533092819943147,0.00956455595826821,3.38923652444267,0.00212149646864036,0.00947546843473653,-2.24010384040735
"BIOCARTA_BCR_PATHWAY",0.531906745142167,-0.00251651122773023,3.53547251645019,0.00145401686300945,0.00717094680166025,-1.87701588452684
"BIOCARTA_CASPASE_PATHWAY",0.513660297560771,-0.0675761621956237,3.16863478516289,0.00371686554818464,0.0146647240719285,-2.77557795788588
"BIOCARTA_DREAM_PATHWAY",0.513062627515277,-0.0559424641715197,3.13729909863282,0.00402103741764957,0.0155815199933921,-2.85032015540835
"BIOCARTA_EPO_PATHWAY",0.505493325207157,0.0104758042985902,3.12983441903516,0.00409693394847304,0.015597099417871,-2.86807349584743
"BIOCARTA_ETS_PATHWAY",0.504148330579553,-0.00863652257187223,3.76537211975532,0.000796296263985838,0.00431990723212317,-1.2950461124554
"BIOCARTA_PDGF_PATHWAY",0.499859926445282,-0.0288560458699229,3.42403043321744,0.00193990861826117,0.00915130804701465,-2.1542632889439
"BIOCARTA_NKCELLS_PATHWAY",0.497569142529283,-0.0261854031357453,2.99024801444793,0.00579510738832433,0.0199684242540978,-3.19625114601458
"BIOCARTA_FCER1_PATHWAY",0.492969502194841,0.00461190817047452,3.23402949410121,0.00315155757754909,0.0129035470627954,-2.61850046010567
"BIOCARTA_TOLL_PATHWAY",0.462912508544508,-0.0322332211458421,3.41486446062317,0.00198623105908739,0.00917047106004178,-2.17691112037087
"BIOCARTA_TID_PATHWAY",0.457939943430447,-0.0323925782876478,2.78607937711884,0.00952104776893287,0.0299430053022961,-3.6622074592484
"BIOCARTA_IL7_PATHWAY",0.453631693189311,-0.0430006166589619,2.89031349094612,0.00740170950909029,0.0250964213042593,-3.42651818890473
"BIOCARTA_IL2RB_PATHWAY",0.448912243176767,-0.0276149019195536,3.37556049769919,0.00219727945616278,0.00953619283974645,-2.27374628817346
"BIOCARTA_CBL_PATHWAY",0.436015529232564,-0.0357835876898083,3.38592310169725,0.00213962190461793,0.00947546843473653,-2.24825984041007
"BIOCARTA_TPO_PATHWAY",0.434226039319036,-0.015092891344619,3.06950406653888,0.00476263703003114,0.017224870591946,-3.01081391462149
"BIOCARTA_PML_PATHWAY",0.433041094894294,-0.046206684703166,2.73972083193831,0.0106366286547319,0.0325091326489692,-3.76548225200372
"BIOCARTA_KERATINOCYTE_PATHWAY",0.415503589756852,-0.0241870350015747,3.19798066422825,0.00345209305031208,0.0138722998503282,-2.70527031114073
"BIOCARTA_DEATH_PATHWAY",0.414350948000769,-0.050408391086602,3.00284415696566,0.00561787643303199,0.0199684242540978,-3.16694213567677
"BIOCARTA_EGF_PATHWAY",0.40858536700335,-0.0243350134769797,2.84877086305393,0.00818658360986298,0.0269164945960646,-3.52101755226983
"BIOCARTA_NFKB_PATHWAY",0.403751658350923,0.00829951268834655,2.54817131299841,0.0166731511647249,0.0452259225343162,-4.18138606995599
"BIOCARTA_GLEEVEC_PATHWAY",0.398888665223771,-0.0346514574797168,2.56022896776689,0.0162146870632357,0.0445390771230652,-4.15574205388056
"BIOCARTA_STRESS_PATHWAY",0.389601306106244,-0.0474971703169969,2.72408234579361,0.0110398276289745,0.0332728138262147,-3.80009836036604
"BIOCARTA_GATA3_PATHWAY",0.378356923387757,0.026301415418105,2.60821606800676,0.0145034763448558,0.0408734333355026,-4.05295236548495
"BIOCARTA_IL1R_PATHWAY",0.374203550240425,0.0071341143267818,2.64634416497094,0.0132651877233547,0.0378756017890523,-3.97046230564743
"BIOCARTA_P53_PATHWAY",0.36257982075773,-0.0297795419724278,2.75477103020291,0.0102616688894734,0.0318111735573675,-3.73206174008812
"BIOCARTA_MITOCHONDRIA_PATHWAY",0.35944786834943,-0.00146524074479973,3.08064749408708,0.00463236825057745,0.0170376933961916,-2.9845497915602
"BIOCARTA_STATHMIN_PATHWAY",0.336464674772048,-0.0714775084496014,2.81274372129699,0.00893020594368366,0.0284978630849905,-3.60236744037013
"BIOCARTA_GCR_PATHWAY",-0.359562645789168,0.0332532428621648,-2.5806630098113,0.0154643146350139,0.0430225163563847,-4.11211386402677
"BIOCARTA_MTOR_PATHWAY",-0.387997053674623,0.0615301235153274,-2.82864647565519,0.00859444105156593,0.0278357269879076,-3.56652869806505
"BIOCARTA_PGC1A_PATHWAY",-0.404560938523536,0.0302388367776453,-3.11849284126788,0.00421487669780919,0.0157694524728378,-2.89500894935379
"BIOCARTA_NO1_PATHWAY",-0.434019896993917,0.0245653414845169,-2.99009557432745,0.00579728446086712,0.0199684242540978,-3.19660546471437
"BIOCARTA_LONGEVITY_PATHWAY",-0.463012733154289,0.0682259693638422,-2.68159757134755,0.012208613356612,0.0358009337619568,-3.89356117104367
"BIOCARTA_UCALPAIN_PATHWAY",-0.464338957216498,0.0816975410760298,-2.69179212943907,0.0119180490391314,0.0354276252259111,-3.87121181562145
"BIOCARTA_IGF1MTOR_PATHWAY",-0.464406423564787,0.0715662790987347,-3.25439716314281,0.00299303859410049,0.0124901802869194,-2.56928282943254
"BIOCARTA_EGFR_SMRTE_PATHWAY",-0.595645569427866,0.0993087456264965,-2.85586956632606,0.00804712346338631,0.0268650121777666,-3.50492202741824
"BIOCARTA_SARS_PATHWAY",-0.66281891526163,0.0944685091464486,-4.21629581046787,0.000239163659041003,0.00185351835756778,-0.122681190145099
"BIOCARTA_AMI_PATHWAY",-0.697278524921938,0.100599800434708,-3.63543488091636,0.00112037017366603,0.00581789968565163,-1.62553010982616
"BIOCARTA_FIBRINOLYSIS_PATHWAY",-0.703360046763729,0.129972038717771,-4.10145270438624,0.000325594684204735,0.00235513488241425,-0.424448991930015
"BIOCARTA_FEEDER_PATHWAY",-0.752463324757126,0.114475093619515,-3.88620035556395,0.000578318143552774,0.00354172573743449,-0.98445883175275
"BIOCARTA_KREB_PATHWAY",-0.761880977049272,0.0896914892049544,-3.32143124209096,0.00252368992472016,0.0107380532091034,-2.40634547254053
"BIOCARTA_INTRINSIC_PATHWAY",-0.778138251905188,0.0758764944797098,-3.48033712543401,0.00167747123012792,0.00808913904306131,-2.01461140646098
"BIOCARTA_EXTRINSIC_PATHWAY",-0.788251150201674,0.10404447413959,-3.79228149077806,0.000741683807511897,0.00413121100827924,-1.22613543460531
"BIOCARTA_GLYCOLYSIS_PATHWAY",-0.820079280358211,0.134168663987272,-3.880224629387,0.000587567403445353,0.00354172573743449,-0.999887829826253
"BIOCARTA_LECTIN_PATHWAY",-0.894588274718757,0.0145047096390056,-3.79187761958027,0.000742475711165392,0.00413121100827924,-1.22717081801947
"BIOCARTA_NUCLEARRS_PATHWAY",-0.92785657314508,0.1327027614644,-5.18343356107237,1.73500401451572e-05,0.00029220726033872,2.46518236272794
