"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",0.761071356586593,-0.10819106728612,5.41878002021947,2.18745116213876e-05,0.00217374211579486,2.84605741286351
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP",0.684953097859444,-0.0970611955777468,4.71201360530436,0.000116402849323489,0.00401939326500879,1.26747643244398
"GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN",0.683623488231374,-0.0920100906957368,6.16670995005205,3.92178448490651e-06,0.00161275388234927,4.46267872227834
"GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP",0.659495811164786,-0.0535625507474488,6.38341105872416,2.41224861722155e-06,0.00161275388234927,4.91770886159017
"GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP",0.643358868880334,-0.0813740012130669,4.96926412048749,6.30839108346968e-05,0.00331738874065745,1.84620691829365
"GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP",0.642186552581861,-0.0488367219142151,6.65563422784119,1.32097523192808e-06,0.00161275388234927,5.47991782079963
"GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_DN",0.634525204953749,-0.086275980644827,5.6959941199457,1.14873761669564e-05,0.00170217197026636,3.45297235020552
"GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN",0.620751699421755,-0.0823150140362307,5.4704566196908,1.93885525208058e-05,0.00209913395291924,2.9598174872742
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",0.618593367231236,-0.035342306603221,5.44555930233054,2.05482154838927e-05,0.00217374211579486,2.90504292042832
"GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN",0.612766749798642,-0.0793734510550099,6.44500189231216,2.10326720131256e-06,0.00161275388234927,5.04584113928521
"GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",0.588851233463442,-0.0824923947917814,4.41892853363379,0.000234794462427734,0.00510677955780322,0.604846663568162
"GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN",0.580431473975282,-0.0846588778216202,6.95687842852985,6.86002322269202e-07,0.00161275388234927,6.08936349177352
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN",0.575046463659798,-0.0731182215439167,4.63514209841308,0.000139879886368271,0.00434073125086763,1.09391892617893
"GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN",0.57342561656463,-0.0524593566583089,5.96407089417821,6.20963634805522e-06,0.00161275388234927,4.03144750098727
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN",0.570663260029407,-0.078854566890777,4.7013524428208,0.000119405091185788,0.00403987225178584,1.24341995236547
"GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN",0.565585976475938,-0.0565565100653683,5.69440951686991,1.15294899463854e-05,0.00170217197026636,3.44952734951815
"GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN",0.552165287402515,-0.0701593715413691,5.15369089884869,4.07701828340455e-05,0.00299998446858568,2.25847498561073
"GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_DN",0.551373760840851,-0.0858760518443543,5.11875390389939,4.427621133307e-05,0.00300007960650679,2.18057605145308
"GSE42021_TREG_VS_TCONV_PLN_UP",0.546689896005632,-0.0621838165469578,4.79066707863871,9.6482560575705e-05,0.00370128374114043,1.44479762223175
"GSE10325_BCELL_VS_MYELOID_DN",0.542410101281793,-0.0280422975004097,5.33302983512823,2.67371687182705e-05,0.00244292551013242,2.65670097233386
"GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN",0.541086575030995,-0.0659116810285496,4.75261385063132,0.000105649953130161,0.00388350237084452,1.35904402451891
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_DN",0.530692356046059,-0.0721473638918253,4.18318898796364,0.000413415709876844,0.00693539994497793,0.071210168079884
"GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP",0.530652067013425,-0.064506028995163,5.07993710857493,4.85316245824629e-05,0.00307127527353733,2.09391282942189
"GSE22886_CTRL_VS_LPS_24H_DC_DN",0.530008895185487,-0.0645170590228419,5.53533702384759,1.66695426237505e-05,0.00193366694435506,3.10225174470743
"GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN",0.529747336245385,-0.0626989338121616,4.29793012967371,0.000313887789940105,0.00597367700229762,0.330896839982688
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN",0.525263388257888,-0.0252842986092754,5.15946197366937,4.0218738864497e-05,0.00299998446858568,2.2713331809128
"GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN",0.524252628523827,-0.0439136746220858,5.0631412864063,5.04992396573404e-05,0.0031143328558299,2.05637819386878
"GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN",0.518097319835551,-0.0682210797025409,4.74066128680307,0.000108707131297794,0.0039045368885628,1.33209453068668
"GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN",0.516429284834192,-0.0597464947656624,4.94610675406879,6.66494381754436e-05,0.00334796782750945,1.79426885579779
"GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN",0.51407682521871,-0.0596225066492595,4.87811687187407,7.83409236514137e-05,0.00348066645659435,1.64158180508751
"GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP",0.51403866377926,-0.0527030264371281,5.96026633748591,6.26373273995486e-06,0.00161275388234927,4.02330003025805
"GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_UP",0.513044131430478,-0.055531482332066,4.48776064165076,0.000199073892669347,0.00473116100041492,0.760646506816735
"GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP",0.512687901834502,-0.0630799901658606,6.05955690767759,4.99757633731178e-06,0.00161275388234927,4.23532060062564
"GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN",0.510121793653845,-0.051684614358949,4.96621835371203,6.35416159546971e-05,0.00331738874065745,1.8393778074047
"GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP",0.507921616005503,-0.0325027304947419,5.91462547302975,6.95152535495376e-06,0.00161275388234927,3.92541674854343
"GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_UP",0.507785656319543,-0.0627990398960959,4.80182851749917,9.39491177253229e-05,0.00368869207020737,1.46993651416966
"GSE29618_MONOCYTE_VS_PDC_UP",0.504331649278154,-0.0227165577342746,4.36787036256437,0.000265388314526058,0.00536502849946454,0.489249116818362
"GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN",0.502848206959088,-0.0177234612111262,4.74802900183596,0.000106812257326183,0.00388350237084452,1.34870732499252
"GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP",0.499506672285185,-0.0573150673033567,5.91914477969863,6.88010752678805e-06,0.00161275388234927,3.93512077883554
"GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_UP",0.497749739424653,-0.0358229077482406,5.53637397993426,1.66293906555428e-05,0.00193366694435506,3.10452458521271
"GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN",0.497352110402466,-0.0467911465579684,5.1509616889395,4.10336319710537e-05,0.00299998446858568,2.25239323890624
"GSE10325_CD4_TCELL_VS_BCELL_DN",0.496124232675108,-0.0642020846939363,5.55900625529394,1.57771593209199e-05,0.00192165800528805,3.15410201441695
"GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN",0.492649586427261,-0.0225922022477764,4.79541208542347,9.53972087122596e-05,0.00368869207020737,1.45548556928747
