"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE",1.13723088747663,-0.189808619493867,6.90158797530364,5.52818775947369e-07,0.000239183754070647,6.32002801399581
"REACTOME_PD1_SIGNALING",1.10070370406449,-0.175283656853176,6.75110411795559,7.77352374422488e-07,0.000239183754070647,5.99273801621192
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS",1.09355306878032,-0.144042815784209,6.32695563232159,2.06293311178066e-06,0.000239183754070647,5.05385985472669
"REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION",1.00915762126849,-0.132717452984185,4.45919598461144,0.000187546013205889,0.0037922435824531,0.704370172487214
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",0.98194785895344,-0.137287376237734,4.69666821551314,0.000104396888521407,0.00274590992643365,1.26826281500361
"REACTOME_BETA_DEFENSINS",0.954015978763598,-0.119073004271436,4.92632359026226,5.93434592471147e-05,0.00210513113329238,1.81277692832967
"REACTOME_REGULATION_OF_IFNA_SIGNALING",0.92111377008508,-0.116859819166061,6.40013765573156,1.74048766693119e-06,0.000239183754070647,5.21752569018641
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.91544645698164,-0.117593641204185,6.31336559278897,2.12923223208291e-06,0.000239183754070647,5.02339249924727
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING",0.8884146307364,-0.100039724756315,4.64958537134723,0.000117242766629685,0.00282220088244314,1.15648284039839
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",0.883353120292873,-0.108510938372925,5.7971486509819,7.19099324498267e-06,0.000484672944711832,3.84986270419341
"REACTOME_INTERFERON_GAMMA_SIGNALING",0.851778810283802,-0.101033938393249,5.72461854900067,8.55155117572834e-06,0.000523976862949173,3.68262581144326
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.845813326404587,-0.131057364001469,6.09516982951274,3.54870564241711e-06,0.000341689657569876,4.53112277753364
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",0.813524048780633,-0.101784767221001,4.3832639624217,0.000226220238523422,0.00383435079572572,0.52413940860972
"REACTOME_COPI_MEDIATED_TRANSPORT",0.798967522133166,-0.0732666438252516,4.71453343089983,9.99015083563445e-05,0.00274590992643365,1.31066829748473
"REACTOME_COLLAGEN_FORMATION",0.777212408281432,-0.0606793245883793,4.69076981210643,0.000105925308734829,0.00274590992643365,1.2542610220885
"REACTOME_CD28_DEPENDENT_VAV1_PATHWAY",0.775766719283822,-0.0899066076794268,4.27263487587308,0.000297274176176337,0.00445250654984113,0.261808234430227
"REACTOME_REGULATION_OF_IFNG_SIGNALING",0.768242861271639,-0.0882278896887321,4.48034774406421,0.00017800380124438,0.00374920506370976,0.754591414248543
"REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY",0.740710647014129,-0.0739445850707406,3.22305069826706,0.00383748042100659,0.0224909722065951,-2.17124595668176
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI",0.73754330847838,-0.135647913106887,5.63634368390695,1.05667261967933e-05,0.000547844112049129,3.47838166993316
"REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN",0.694663223833122,-0.0740541519855723,4.38087628693388,0.000227557910725562,0.00383435079572572,0.51847392387403
"REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS",0.69131463099213,-0.0788946125635441,4.57019215633773,0.000142602801480382,0.00320380960659259,0.967948335427574
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",0.689571873012499,-0.0373918625058786,5.64424150733296,1.03682496864477e-05,0.000547844112049129,3.49668566023691
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",0.685055159489683,-0.092413266817695,4.50865132356182,0.000165991560725503,0.00360897780416094,0.821800407041808
"REACTOME_PROSTANOID_LIGAND_RECEPTORS",0.674929098752426,-0.184587665171581,4.30294562936643,0.000275841162159848,0.00432364984408692,0.33364415957872
"REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE",0.651127358464225,-0.0567530903527417,3.89828500750903,0.000747565059295207,0.00763422499946924,-0.621124923206589
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE",0.636575551234706,-0.0508707317735737,4.83850154479555,7.36322078971063e-05,0.00248140540613248,1.60473228872608
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",0.633970400015381,-0.0357704898638439,4.2869106934209,0.00028698003499273,0.00439601235420682,0.295637469058747
"REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS",0.630032441844601,-0.167706698131821,4.41692180170577,0.000208179543843864,0.0037922435824531,0.604016031568078
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",0.626017763416256,-0.0764938750312203,5.34183853100584,2.1515882040353e-05,0.00096678029967986,2.7918946093226
