sample_id,primary,yfp_bulk,moffitt_tumor_type,bailey_type,moffitt_stromal_type,gsva_aDC,gsva_B_cells,gsva_blood_vessels,gsva_CD8_T_cells,gsva_Cytotoxic_cells,gsva_DC,gsva_Eosinophils,gsva_iDC,gsva_Lymph_vessels,gsva_Macrophages,gsva_Mast_cells,gsva_Neutrophils,gsva_NK_CD56bright_cells,gsva_NK_CD56dim_cells,gsva_NK_cells,gsva_helper_T_cells,gsva_Tcm,gsva_Tem,gsva_Tfh,gsva_Tgd,gsva_Th1_cells,gsva_Th17_cells,gsva_Th2_cells,gsva_Treg,gsva_MDSC,gsva_CYT_index,gsva_Immune_suppression_index,flow_CD4_T_cells,flow_CD8_T_cells,flow_gMDSCs,flow_DCs,flow_CD4_CD8_null_T_cells,flow_F480_macrophages,flow_B_cells
PD2699_C4_1_BULK,PD2699,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,-0.269692803,0.170099753,-0.534441805,0.106877521,-0.199031742,-0.542739177,0.298044645,-0.376839571,-0.526190476,0.202544131,-0.439188429,-0.141205643,0.0625,-0.247243198,-0.174736495,0.28939206,0.473424985,-0.4361252,-0.122956044,0.19047619,-0.163680556,-0.787602266,0.462899442,-0.866983373,-0.406175772,0.463441832,0.136941407,NA,NA,NA,NA,NA,NA,NA
PD2699_C4_1_YFP,PD2699,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6422_C5_YFP,PD6422,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6419_C1_BULK,PD6419,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,0.253454991,-0.058257028,0.296912114,-0.020288694,-0.237374687,0.029859583,-0.242676697,0.38326814,0.383333333,0.243952241,-0.034753414,0.269956034,-0.069055335,0.500288638,-0.418278815,-0.122750496,0.186506868,0.257767141,-0.030156277,-0.052380952,-0.097405862,0.4408867,-0.12037579,-0.890736342,0.25415677,-0.595238095,-0.036005216,2.89,0.59,20.67,0.99,0.457,49.33,4.13
PD6419_C1_YFP,PD6419,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6422_C5_BULK,PD6422,BULK,Classical,Pancreatic_Progenitor,Activated Stroma,-0.11722488,-0.170571185,0.25415677,-0.174351903,-0.065991641,0.475208624,-0.069511402,0.299634705,0.721817095,0.307937733,0.14093914,-0.419010684,-0.240673438,0.687779319,-0.267653702,-0.058216963,-0.248903702,0.13050348,-0.03874454,0.751629073,-0.128827773,-0.717171717,-0.117529973,0.667458432,0.73871734,0.921428571,-0.132134716,12.3,3.7,29.43,2.88,3.88,7.69,4.3
PD6499_C4_BULK,PD6499,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,-0.366202511,0.079501328,0.586698337,0.110222014,-0.40925812,0.057475219,0.071770435,0.119037648,-0.015838509,0.122337412,0.226322263,0.400284347,0.33767927,-0.131925688,0.403955803,-0.065928682,-0.196995037,-0.163446827,0.067492969,-0.952380952,-0.251884701,-0.861007591,-0.248063859,-0.895486936,-0.51543943,-0.6,-0.027855741,16.65,1.3,20.23,1.88,0.453,21.55,2.3225
PD6499_C4_YFP,PD6499,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6620_C1_BULK,PD6620,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,-0.512578499,0.280665115,0.510688836,0.02736998,-0.312576538,-0.442565028,0.151849257,0.417671733,0.60952381,0.190043924,0.284202683,0.185306908,0.147690076,-0.283132214,0.052549303,0.119121542,-0.230791389,-0.329031857,-0.006853231,-0.841086187,-0.213062099,-0.888510266,-0.003329786,-0.923990499,-0.638954869,-0.685714286,-0.08009224,11.3,2.63,32.78,1.33,3.075,11.91,1.47
PD6620_C1_YFP,PD6620,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
