"sample_id","primary","yfp_bulk","moffitt_tumor_type","bailey_type","moffitt_stromal_type"
"PD2699_C4_1_BULK","PD2699","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD2699_C4_1_YFP","PD2699","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6422_C5_YFP","PD6422","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6419_C1_BULK","PD6419","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6419_C1_YFP","PD6419","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6422_C5_BULK","PD6422","BULK","Classical","Pancreatic_Progenitor","Activated Stroma"
"PD6499_C4_BULK","PD6499","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6499_C4_YFP","PD6499","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6620_C1_BULK","PD6620","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6620_C1_YFP","PD6620","YFP","Classical","Pancreatic_Progenitor","NA"
"PD2699_C4_2_BULK","PD2699","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD2699_C4_2_YFP","PD2699","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6419_C5_YFP","PD6419","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6421_C2_BULK","PD6421","BULK","Classical","Pancreatic_Progenitor","Activated Stroma"
"PD6553_C3_BULK","PD6553","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6556_C5_YFP","PD6556","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6883_C1_YFP","PD6883","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6499_C3_BULK","PD6499","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6556_C4_BULK","PD6556","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6566_C3_YFP","PD6566","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6694_C2_YFP","PD6694","YFP","Classical","Pancreatic_Progenitor","NA"
"PD7160_C2_YFP","PD7160","YFP","Classical","Pancreatic_Progenitor","NA"
"PD7160_C5_BULK","PD7160","BULK","Basal_like","Squamous","Activated Stroma"
"PD7160_C5_YFP","PD7160","YFP","Classical","Pancreatic_Progenitor","NA"
"PD2838_C3_YFP","PD2838","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6419_C5_BULK","PD6419","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6421_C2_YFP","PD6421","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6499_C3_YFP","PD6499","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6555_C3_YFP","PD6555","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6556_C3_BULK","PD6556","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6883_C4_YFP","PD6883","YFP","Classical","Pancreatic_Progenitor","NA"
"PD7160_C2_BULK","PD7160","BULK","Basal_like","Squamous","Activated Stroma"
"PD2838_C3_BULK","PD2838","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6422_C1_BULK","PD6422","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
"PD6422_C1_YFP","PD6422","YFP","Classical","Pancreatic_Progenitor","NA"
"PD6694_C2_BULK","PD6694","BULK","Classical","Pancreatic_Progenitor","Normal Stroma"
